"","Stage","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1","Estuary Rearing",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"2","Estuary Rearing",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"3","Estuary Rearing",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",6,0.5,3,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"4","Estuary Rearing",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",6,0.5,3,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0.166666666666667,1
"5","Estuary Rearing",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",6,0.5,3,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0.166666666666667,1
"6","Estuary Rearing",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",6,0.5,3,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0.166666666666667,1
"7","Estuary Rearing",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",6,0.5,3,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0.166666666666667,1
"8","Estuary Rearing",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",6,0.333333333333333,2,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0,0,0.333333333333333,2
"9","Estuary Rearing",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",6,0,0,0,0,0.166666666666667,1,0.333333333333333,2,0,0,0.5,3,0,0
"10","Estuary Rearing",47,"LF47: Mortality or fitness reduction due to elevated predation",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"11","Estuary Rearing",48,"LF48: Mortality or fitness reduction due to predation by invasive species",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"12","Estuary Rearing",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"13","Estuary Rearing",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"14","Estuary Rearing",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"15","Estuary Rearing",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"16","Estuary Rearing",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"17","Estuary Rearing",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"18","Estuary Rearing",64,"LF64: Mortality or fitness reduction due to increases in salinity",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"19","Estuary Rearing",65,"LF65: Mortality or fitness reduction due to deleterious substances",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"20","Estuary Rearing",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
